Title,URL,Address,Compensation,Employment Type,Description
Project Manager / Assistant Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager-assistant/7000092303.html,Financial District,Commensurate with experience,full-time,"
        
We are an advisory firm that specializes in major public and private developments.  Listed below are two open positions for the project management of the World Trade Center Retail Redevelopment Program in downtown Manhattan.

The WTC Retail Program represents the public face of the WTC site. Housed throughout the WTC site and integrated into the various Stakeholder base building projects, the WTC Retail Program consists of concourses on two separate floor levels below grade as well as on three separate floor levels at or above grade, including programmed advertising displays, kiosks and spaces for special events.
The WTC Retail Program continues to direct completion of back-of-house retail areas and on-going retail construction in 3WTC Above Grade, former North Temporary Access (NTA), and Cortlandt Way, providing construction logistic assistance to Westfield construction teams for tenant retailer fit-outs, intervening in areas of conflict with other Stakeholder projects, and acting as an intermediary for retail design conditions that require third-party or Stakeholder review and/or approval.
 

PROJECT MANAGER (FULL TIME)

Scope of Work / Job Responsibilities
•	Leading day-to-day construction interface with WTCC (World Trade Center Construction) and other construction teams for the remaining WTC retail construction phases (Tower 3 Above Grade and North Temporary Access (NTA) phases). 
•	Managing and coordinating the retail program requirements such as design, logistics and construction for future retail stores. 
•	Reviewing requisitions and change orders from stakeholders and contractors, negotiating cost savings, and making recommendations for pending approval. 
•	Providing expert guidance and recommendations in evaluating, documenting, and tracking the impact of potential project changes (cost impact, schedule, and construction implications), working with Architectural and Engineering sub-consultants to support the evaluations when necessary. 
•	Providing oversight of the design management contract, retail project, and other design subconsultants. 
•	Administering site-wide retail space, commissioning processes and managing all construction phases. 
•	Executing and administering site logistics protocols within the parameters of the legal agreement, coordinating with the necessary stakeholders and authority departments. 
•	Performing budget analysis, risk mitigation, and project cost control management functions. 
•	Collaborating with the Part-Time Technical Expert Advisory Consultant. 
•	Lend oversight and guidance to the Assistant Project Manager and Site Logistics Inspector / Field Engineer.  
•	Supporting the field staff and troubleshooting issues that emerge. 

Qualifications
•	Bachelor’s Degree in Engineering or Architecture from an accredited college or university.
•	Minimum of eight years’ experience in progressively more difficult and responsible construction management and building occupancy/commissioning. Varied in: size (up to projects over $100 million) and complexity (multiple crews and crew sizes per shift).
•	Self-motivated and independent, detailed oriented, strong work ethic, high integrity and ethical standards.
•	Extensive experience maintaining project budgets and schedules. Experience in construction cost control a plus.
•	Strong organizational skills and attention to detail.
•	Time management is an essential skill. Set clear timelines for task due dates. Keep timelines up to date. Effectively work under pressure and prioritize work to ensure it is completed under intense deadlines.
•	Some OSHA training required. Special Inspector qualifications in Concrete, Masonry certification preferred. 
•	Familiarity with NYC Building Code, ACI, ASTM, AISC 
•	Familiarity with Microsoft Outlook, Word and Excel. 
•	Ability to pass a TWIC & SWAC Background Check at High Level. 
•	Night and weekend shifts may be required.

ASSISTANT PROJECT MANAGER (FULL TIME)

Scope of Work / Job Responsibilities
•	Support and report to the Full time Project Manager in all roles and responsibilities
•	Work closely with the Site Logistics Inspector/Field Engineer on all tasks. 
•	Support the Turnover and Commissioning process of projects by executing Operations and Maintenance Manuals, As-Built drawings, contractor and manufacturer warranties, spare parts deliveries, and required training sessions. 
•	Assisting in administration and day-to-day logistical coordination of the Site Logistics Protocols to support future retail phases (Tower 3 AND NTA), as per the obligations in the Legal Agreement, working with necessary authorities and stakeholders. 
•	Review and assess contractor requisitions, change orders, cost allocations, T&M work, and claim settlements with trade contractors under various construction management entities. 
•	Review invoices and manage scope responsibilities for various design subconsultants enlisted to support the program. 
•	Managing and tracking costs and billings. 

Qualifications
•	Bachelor’s Degree in Engineering or Architecture from an accredited college or university.
•	Minimum of three years’ experience in progressively more difficult and responsible construction management and building occupancy/commissioning. Varied in: size (up to projects over $10 million) and complexity (multiple crews and crew sizes per shift).
•	Self-motivated and independent, detailed oriented, strong work ethic, high integrity and ethical standards.
•	Strong organizational skills and attention to detail.
•	Time management is an essential skill. Set clear timelines for task due dates. Keep timelines up to date. Effectively work under pressure and prioritize work to ensure it is completed under intense deadlines.
•	Capable of understanding construction documents including drawings, standards, and specifications. Ability to analyze drawings for new construction projects for budgeting and estimating purposes is a plus.
•	Good math/accounting skills. Experience in construction cost control a plus.
•	Familiarity with NYC Building Code, ACI, ASTM, AISC 
•	Familiarity with Microsoft Outlook, Word and Excel. 
•	Ability to pass a TWIC & SWAC Background Check at High Level. 
•	Night and weekend shifts may be required
    "
Architectural Position. REVIT user needed,https://newyork.craigslist.org/fct/egr/d/architectural-position-revit-user-needed/6991087016.html,CT / NYC,$$,contract,"
        
A small architectural practice is looking for a Revit user for various projects. BIM models, CDs and shop drawings. Preferably in Connecticut // Fairfield County.
Work will consist of assisting in drafting of all project phases including field survey, drawings of existing conditions, construction documents. The position will require editing projects based on comments and independent work to meet deadlines.
Please respond with resume and portfolio sample of work done in REVIT ONLY. 
Documenting experience for Architectural Experience Program available.    "
Earn up to $19/hr! Deliver with Grubhub - Apply now!,https://newyork.craigslist.org/fct/egr/d/stamford-earn-up-to-19-hr-deliver-with/6991273681.html,Stamford,Per order fee + mileage + 100% tips,contract,"
        

        
    "
Title,URL,Address,Compensation,Employment Type,Description
Draftsperson Detailer,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/7011086338.html,Long Island City,tbd,full-time,"
        
Store/events Display props and wood cabinetry manufacturing company seeking motivated and responsible individual to fill the position of Draftsperson Detailer. Must be experienced with the process of producing client drawings and production drawings.


Must be experienced and proficient in 3D rendering.

Experience in creating CNC files required. 


Must also be skilled with drafting decorative patterns, intricate millwork
and heavily sculpted three dimensional elements for production. 



Candidate must be familiar with materials such as solid wood, plywood,
plastic, metal fabrication and veneer work. 


Must submit portfolio with application, no candidate without portfolio will be considered!


For Individuals Only! No Businesses need apply!



Hours are Monday through Friday 8:30 AM - 5:30 PM and must be available for overtime, working until 8:30 PM and weekends at times.
•	Principals only. Recruiters, please don't contact this job poster.
•	do NOT contact us with unsolicited services or offers



    "
ESTIMATOR - DRYWALL & CEILINGS,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-drywall-ceilings/7009317266.html,,Salary will be commensurate with experience.,full-time,"
        
We are a Brooklyn based commercial union drywall, lath and acoustical contractor who has been in business over forty years. We are seeking candidates to become part of our estimating team. We are looking to hire at both junior & senior levels.

Responsibilities include:
1) Preliminary review of bid documents for each project.
2) Communication with general contractors regarding RFl's and questions.
3) Completing quantity take offs using On Screen Take Off + Quick Bid.
4) Gathering and understanding of supplier and specialty item pricing.
5) Completing scope review plus site visits with clients
6) Analysis of drawing revisions
7) Organizational skills which allow you to meet deadlines and multi task.
8) Minimum of 3 years experience

Salary will be commensurate with experience.
Full Medical, Dental and Vision included.

401K matching and participation.

All inquiries are confidential

Job Type: Full-time    "
◄◄  SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR 3D PROJECT,https://newyork.craigslist.org/que/egr/d/astoria-sketchup-professional-available/7009338839.html,"Metro New York, Long Island",Per Project Quote,contract,"
        
    "
Assistant Project Manager - Construction and Development,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7009388972.html,"New York, NY","$65,000 - $100,000",full-time,"
        
Level One Holdings is a vertically integrated company specializing in the acquisition, design and development of unique real estate assets. As the Owner, Developer and General Contractor, we shepherd every project from architectural and zoning feasibility studies, to design development, through construction, to completion.

This role is ideal for someone with experience in group up construction or an architectural or engineering background. Our ideal candidate is a positive, outgoing individual who is a team player, self-driven and extremely detail oriented. The candidate should be prepared to work in an entrepreneurial environment that is very hands on and will allow great opportunity for those who are driven to seek it.

Responsibilities:

- Review of Plans and Specifications to understand the scope of the project

- Assist in coordination of consultants, meetings and drawings

- Manage the permitting process from initial approvals to final Certificate of Occupancy

- Perform take-offs, leveling construction bids and assist with the purchasing process

- Assist the Project Manager in drafting detailed Scopes of Work to be used in the negotiations with subcontractors or suppliers

- Assist the Project Manager in the preparation of AIA Contracts

- Assist the Project Manager in the Value Engineering process

- Work with the Project Manager and the Field Superintendent to update the Project Schedule on a weekly basis

- Coordinate the timely submission and review of project submittals and RFIs

- Upload and maintenance of all project information onto the company share file system for use by field staff and 
design team

- Assist the Project Manager and Project Accountant with the review of all Subcontractor and Vendor invoices 
and requisitions


Experience and qualifications:

- Minimum 3 years of experience in Ground Up Construction, or Architecture or Engineering
- Must be able to read plans, construction drawings and shop drawings
- Knowledge in Autocad and/or Bluebeam
- Understanding of the NYC Dept of Buildings permitting and project closeout process
- Strong organization and time management skills
- Strong written and oral communication skills


Benefits:

- Incentive bonuses
- Growth Opportunity
- Health Benefits
- 401(K)
- Vacation Pay    "
Mechanical Engineer - Residential hi-rise and commercial projects,https://newyork.craigslist.org/mnh/egr/d/new-york-mechanical-engineer/7009416711.html,Midtown West,salary with generous benefit package commensurate with experience,full-time,"
        
Urgent need for a Mechanical Engineer with a background in Commercial, Educational and Residential projects.  

Five or more years of experience in equipment (HVAC, boilers, furnaces, plumbing, fire protection) design and selection, creating plans, calculations, response to shop drawings, submittals, specifications. Bachelor's degree in Engineering required.  MUST be familiar with local NYC building codes.  MUST be experienced with AutoCAD; Revit a plus.  Please contact Alexandra Dralyuk, alexandra@careerpointstaffing.com or 646-237-5403.


    "
Project Management Assistant,https://newyork.craigslist.org/que/egr/d/queens-village-project-management/7009443205.html,Queens Village,Open for Discussion,full-time,"
        
Job Description 
• Coordinate and support all construction activities for new developments including but not limited to budgeting, planning and design, project timeline and milestones, service contracting, project implementation oversight and project closure 
• Produce project management reporting documents that track the scope of work, budget, and schedule 
• Organize and manage construction documents including but not limited to bid packages, requests for information, submittals, punch list, drawing iterations and compliance of municipal standards 
• Ensure efficient response for all requests and communication for internal and external stakeholders 
• Track project status and manage issues and risks to include evaluation of progress/quality/costs and developing action plans to address gaps throughout project life cycle 
• Ensure project data integrity and documentation is accurate, timely and coordinated The Successful Applicant 
• 3-5 years of construction experience in a construction support function in a fast-paced environment, dealing with diverse issues, and managing multiple priorities required. 
• Experience in project scheduling, project coordination and knowledge of general construction practices required 
• Demonstrated problem solving, analytical and organizational skills, and ability to learn on the fly 
• Superior skills in attention to detail and managing priorities within strict timelines 
• Responsive with a sense of urgency to ensure project continues to move forward 
• Strong relationship management skills and capable of establishing respect and credibility through actions, communications, understanding and personal presence 
• Ability to maturely handle confidential issues with discretion and diplomacy
    "
Mechanical Engineer,https://newyork.craigslist.org/fct/egr/d/norwalk-mechanical-engineer/7009520910.html,"Norwalk, CT",as required for position,full-time,"
        
Analyze project design requirements; Compare and contrast with regulations to engineer integrated systems for HVAC systems, airside and hydronic system components using computer-assisted software and equipment; Conduct calculations on load, HVAC distribution, and equipment sizing against expected outputs; Create building energy models including whole building energy analysis, façade thermal analysis and computational fluid dynamics modeling; Work with other engineers to formulate power supply for proposed HVAC systems; Analyze test results and re-engineer design systems; Produce HVAC studies, drawings, and technical specifications; Generate and maintain documentation of AutoCad and Revit drawings, energy modeling inputs and outputs, LEED templates, and mechanical drawings for energy-related systems, sustainable design, and construction.

Requirements:  Master’s degree in Mechanical Engineering, or Architectural Engineering.  Proficient in load calculations, CFD modeling, energy modeling, Cad drafting. 

Please Mail CV to Kari Nystrom, 31 Knight Street, Norwalk, CT 06851
    "
Paid Internship Project Manager Assistant (construction industry),https://newyork.craigslist.org/mnh/egr/d/new-york-paid-internship-project/7009568232.html,New York City,$17+ hour or based on experienced salary,full-time,"
        
Internship to grow and learn in the construction industry

Assist and support General contractor, Project Managers and Superintendents on assigned projects. The Project Management Intern must be a flexible and adaptable team-player, as well as have strong communication and organizational skills. Responsibilities may include, but are not limited to processing submittals and gathering and distributing information. The individual will work alongside the project team to manage high quality project documentation and process within budget and on schedule. This positions is also expected to attend project meetings and record meeting minutes, assist with the tracking and inspection of material deliveries and other miscellaneous tasks as assigned by the project team.

Required Skills:
 
*Spanish and English Bilingual 

• Excellent written and oral communication skills;

• Strong initiative and problem solving abilities;

• Outstanding attention to detail;

• Time management skills, with the ability to handle various responsibilities while meeting strict deadlines; Required Experience

• Pursuing a Bachelor’s Degree in Construction Management, Engineering, or relevant field required;

• Demonstrated interest in construction management and the construction industry    "
Landscape Designer / Landscape Architect,https://newyork.craigslist.org/wch/egr/d/tarrytown-landscape-designer-landscape/7009582171.html,Tarrytown,commensurate with experience,full-time,"
        
Margie Ruddick Landscape located in Tarrytown, NY, is seeking a full-time Landscape Designer or Landscape Architect with expertise in design and planning for our small, fast-paced, dynamic, and collaborative firm. This position will entail the site design, planning, and coordination of projects at a range of scales, the majority of which are based in New York City, Long Island, the Hudson Valley, Westchester and Fairfield Counties. 
Applicants must have experience in landscape design and project management for small, mid-size, and large development projects.  The ideal candidate will have at minimum 2-3 years of work experience in a landscape architecture firm in the US. A background in an allied profession is a plus. Self starting entry level candidates with internship or office experience will also be considered.

Responsibilities include: 
•	Design, management, and production of drawings for projects of different scales and different stages in the        design process
•	Project management and coordination between clients, consultant teams, and contractors
•	Compilation of targeted project research and analysis into visual and text documents and/or design solutions
•	Initiate tasks, organize, and see projects through completion within a timeline
•	Preparation of and the ability to give verbal, visual, and oral presentations to clients, municipal staff and         boards, community members, etc.
•	Collaborate with and support team members

Required Qualifications:
•	Demonstrated ability in Site Assessment, Design, and Planning at macro and micro (details) scales
•	Project management and coordination experience
•	Professional Landscape Architecture degree (BLA or MLA)
•	Effective time management ability with attention to detail
•	Other degrees in allied design disciplines, such as in planning or architecture
•	AutoCAD to create site, layout, landscape, and detail plan sheets and collaborate with architects, engineers,         and consultants.
•	Adobe Suite to create presentations and diagrams 
•	Experience 3-D modeling and rendering
•	Strong design and writing skills
•	Clear communication, organization, and presentation skills

Candidates are required to submit a resume, cover letter, portfolio (no more than 15 MB), and writing sample.    "
Full Time Architect & Part Time Draft Person,https://newyork.craigslist.org/wch/egr/d/rye-full-time-architect-part-time-draft/7009601877.html,Rye,Will be discussed with right candidate,contract,"
        
FULL TIME & PART TIME ARCHITECT AND DRAFT PERSON   WESTCHESTER / NYC AREA
La Rocca Greene Architects is a medium-size, award- winning firm in Rye, New York. We are seeking a project architect with 5-10 years experience and CAD Draft person with 2-4 years experience for our current and upcoming projects including schools, colleges, municipal and commercial buildings.  Part Time position could be in-office and remote with flexible hours.  Positions offer a wide range of responsibilities and opportunity for design, production and fieldwork in a collaborative work environment which fosters professional growth.  Location in Rye, NY provides quick access to and from Manhattan via Metro North and easy commuting from nearby towns. AutoCAD expertise and current residence in NYC area required. Email resume and work samples to slarocca@laroccagreene.com.    "
Painting/Tree Service Needed,https://newyork.craigslist.org/brk/egr/d/brooklyn-painting-tree-service-needed/7009661389.html,,Payment,contract,"
        
Urgently in need of a exterior and tree service, email me ASAP and let me know the service you rendering.    "
Landscape Design assistant project manager and admin.,https://newyork.craigslist.org/mnh/egr/d/new-york-landscape-design-assistant/7009704725.html,Chelsea,Base salary training $500/wk with increase with bonus system higher pay for experienced workers,full-time,"
        
Growing Landscape team and Garden Design company is seeking good people for full time and possible **flex time employment. 

Are you working on the labor crew but think you want to help organize and manage? 

A trainee landscape architect student or recent graduate or landscape designer graduate or with some training who can make sketches or layouts of gardens and learn to make inspirational and finished concepts or designs. 
  Will consider an experienced landscape architect and the future possibility of Jr. partnerships. 

Also hiring all around assistant with energy and experience in team and meeting support, customer relations, writing emails, invoicing, organizing clients and keeping payroll etc. 

Drivers license is a plus 

   TO APPLY: GO TO WEBSITE ""Contact Us"" page and leave:

Name 
Phone
email
General experience
when you can start
Drivers license
Reference 1 personal 1 business
common sense information and brief cover letter. 

Thanks!
    "
Project Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/7010090631.html,Midtown West,"Salary Commensurate with Experience, Health Benefits, 401K, Commuter Benefits",full-time,"
        
Max Gordon Architects, P.C. seeks a sharp, level-headed, and well-rounded Senior Project Architect with 7+ years of experience. 

Firm Profile
We are a close-knit studio of talented designers who thrive in a social and diverse working environment. Through open discussion and collaboration, we work to push through the boundaries of convention and create thoughtful, innovative design. As we seek to expand our opportunities, we are looking for individuals whose experience, perspective, and unique skill set broaden the collective knowledge of the studio. While we specialize in commercial, retail, and high-end residential projects, we take pride in our pursuit of more theoretical endeavors that allow us to explore new approaches to sustainability, social inequality, and innovative construction methods.

Key Responsibilities:
•	Point of contact for project teams
•	Possess a comprehensive understanding of client program goals, standards and processes
•	Maintain and update program standards and templates; disseminate new information to project teams
•	Manage design team to maintain quality and achieve deadlines
•	Coordination with project consultants including MEP, civil and structural engineers and other project consultants
•	Responsible for project delivery; coordinate and work closely with clients, designers, and project management teams carrying out the requirements for the project
•	Ensure that projects meet all codes, specifications, quality control
•	Document coordination for filing construction documents
•	Review shop drawings for accuracy, attend construction field meetings with contractors, address issues arising from construction 
•	Prepare surveys, reports, meeting minutes, define/clarify scopes of work and punch lists items
•	Communicate with vendors and contractors to verify field conditions.
•	Maintain relationships with clients, consultants, vendors and contractors

Qualifications:
•	Minimum 7 years of experience in the Architecture (Licensed Architect preferred)
•	Professional Degree in Architecture (B.Arch or M. Arch) 
•	Advanced knowledge of architectural detailing, fabrication, and multi-trade collaboration
•	Advanced knowledge of construction methods and materials
•	Advanced knowledge of 2010 ADAAG, 2015 IBC, and NYC Building Codes 
•	Strong proficiency in AutoCAD and Adobe Creative Suite (Photoshop, Illustrator, InDesign) required (Proficiency in Revit, SketchUp, Rhino, or 3D Studio Max a plus)
•	Experience with commercial, retail, or high-end residential required (sustainable design and multi-family housing a plus)
•	Strong organization, communication, and interpersonal skills
•	Must be fluent in English and be eligible to work in the US.
•	LEED Accreditation a plus

Max Gordon Architects P.C. is an equal opportunity employer.
Candidate must be authorized to work in the United States and live within the NYC five-boroughs.

Compensation: Bi-weekly
Please include your cover letter, resume, and portfolio.

    "
Junior Designer at Creative Studio,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-designer-at-creative/7010110510.html,Manhattan,On Project Basis,part-time,"
        
Seeking Junior Designer at Creative Studio in Manhattan.
Exposure to Environmental Branding, Exhibits, Product,
Graphic and Brand Identity.  2D & 3D toolkit
Adobe Suite, 3D render
Clean, contemporary, minimal design aesthetic.
Can-do attitude, willing to learn

Work remotely with ability to meet in person.
Part-time, on a project basis
Send resume and 3 examples of work – as PDF only
    "
Drafting/Estimating Internship,https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7010119520.html,Long Island City,Unpaid Internship,part-time,"
        
Our company is offering an internship for recent graduates/college students with Architectural, Construction Management or Engineering background and interested in real world experience in the Manufacturing Industry.

We are a top fabricator in the Northeast for custom metal facade and roofing components. Our Design & Estimating Department are looking for an individual who is interested in the business, design and developmental aspects of architecture. 

The internship program provides a unique opportunity to gain experience in:
-	Cost Estimation
-	Specs & CD
-	Marketing Strategy and PR
-	Fabrication
-	Installation and Field Relationship

We are looking for interns who are:
-	Self-motivated and able to receive/ use constructive criticism
-	Communicative; willing to ask questions, share their ideas 
-	Team Players willing to work with others
-	Punctual, reliable and responsible
-	Interested in architectural methods/materials in Roofing/Facade


Candidates must have knowledge of Microsoft Office, AutoCad, experience in Rhino is a plus! 
Interns must be present 20 hrs/week for 3 Months. Full time positions are available for best candidates.

This is not a paid internship however; a lunch and 75% travel stipend will be provided.

Please send a resume and work samples to Craigslist email listed.    "
Intermediate Architect | Corporate Interiors Design Firm,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/7010266186.html,Midtown East,$35-45 per hour,full-time,"
        
Title:
Temp to Hire
Intermediate Architect | Commercial/Corporate Interiors

Firm Description:
Manhattan interior architecture/interior design firm with a large list of high profile clients.

Position Description:
Assist the Project Manager on all commercial interior projects.  
Must be able to contribute toward assembling full sets of construction documents using AutoCAD.

Requirements for Consideration:
Strong AutoCAD skills.
Previous experience working on interior architecture projects and producing CDs. 

Required Education:
Bachelor of Architecture or Masters of Architecture

COMPENSATION: Get paid a great hourly rate for each hour that you work.    "
Senior Electrical Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-electrical-estimator/6997628463.html,New York City,"$100,000 / year",full-time,"
        
Senior Electrical Estimator Wanted
Leader Electric is an Electrical contracting company in business for 36 years, servicing all boroughs of New York City, doing all types and sizes of electrical work ranging from 50K to 6 million. 
This is a full time position, long term employment, steady work, offering health benefits and vacation.
Job description:
•	Review ITB with management.
•	Maintain estimate log & schedule.
•	Credit Check potential clients. 
•	Schedule meet and greet with potential clients
•	Attend walk-throughs.
•	Do take offs.
•	Ensure RFQs and RFIs are created, sent out and followed up.
•	Identify labor, material, and time requirements by studying blueprints, specifications, quotes, photos, walk through notes, RFI and other related documents.
•	Resolve discrepancies by collecting and analyzing information.
•	Enter data into estimating software –Accubid.
•	Create proposal for client
•	Final review of estimate and proposal with management
•	Submit proposals in a timely fashion.
•	Prepare statistics reports
•	Maintain cost data base. 
•	Manage and train junior estimator 
Requirements:
•	Education and experience in electrical estimating
•	Blueprint reading
•	Knowledge of NYC and NEC codes
•	Knowledge of means and methods
•	Computer literate
•	Knowledge of Accu Bid estimating software a plus
•	Understanding of material needs and labor costs
•	Excellent communication skills, both verbal and written
•	Field experience preferred



    "
Draftsman/junior estimator - Architectural  Metals,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsman-junior-estimator/6997637470.html,Brooklyn,Compensation based on experience plus commission,full-time,"
        
Established Architectural Metal Fabricator located in Brooklyn South seeking a highly motivated person to join our team. The successful candidate will have a minimum of 5 years' experience in drafting and assembling shop drawings. The position will require estimating projects with understanding of how to evaluate specifications and drawings, identify requirements, obtain quotes from vendors and subcontractors, calculate quantities and prepare offers that win contracts and return profits.

RESPONSIBILITIES:
•	Analyze blueprints and contract documents to prepare labor & material estimates.
•	Consult with clients, vendors, and management to discuss estimates and resolve issues.
•	Prepare estimates for use in selecting vendors or subcontractors.
•	Prepare estimates for bids, quotes as well as planning, organizing and scheduling work.
•	Maintain a directory of suppliers, contractors and subcontractors.
•	Follow up with clients and maintain relationships

REQUIREMENTS:
•	Strong math and analytical skills as well as an eye for details.
•	Must be able to read and understand Contract Documents and Blueprints.
•	Must be proficient in the use of computers, MS Excel/Word. Auto CAD experience a plus.
•	Strong communication and interpersonal skills.
•	Experienced in working independently and in a team.
•	Ability to effectively prioritize and execute tasks.
•	Must be able to learn, understand and apply new rules and regulations.
•	Must be able to meet deadlines.
•	Job may require field, vendor and client visits.

Sales experience is a plus, can easily qualify for commissions and bonuses.
    "
Facade / Building Envelope Structural Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6997653729.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer with 5 to 6 years of building envelope restoration experience if licensed, and 7 to 10 years' experience if not licensed, to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6997656390.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 2 to 5 years of building envelope restoration experience to join us in executing a growing slate of challenging projects.  We also have an opening for an entry level architect with an interest in exterior restoration.   

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Project Supervisor,https://newyork.craigslist.org/brx/egr/d/bronx-project-supervisor/6997869759.html,bronx,based on experience,full-time,"
        
Seeking Project Super. for curtain wall, storefront, glazing projects 
must have knowledge of this field. Driver License
open shop project.    "
Seeking Junior Designer for Boutique Firm,https://newyork.craigslist.org/mnh/egr/d/new-york-seeking-junior-designer-for/6998324437.html,Midtown,Billed directly to client,part-time,"
        
Award Winning Design Firm seeking junior designer to start immediately-

-Develop projects from schematic-design, design development, construction documents to construction coordination
-Develop design concepts, sketches, layouts and design presentations
-Manage workflow of projects, organize and maintain records. 
-Develop construction documents from design drawings and under supervision of senior staff
-Research, analyze and implement zoning and building code requirements
-Coordinate and develop details based on construction documents
-Coordinate throughout the DOB plan examination process to coordinate approvals.
-Construction site visits to review progress as well as to create as-built plans and drawings.

Software Requirements:

-ArchiCAD 23 a must
-AutoCAD a must
-Photoshop
-Illustrator
-Indesign
-Revit
-Blender
-Sketchup
-Google Docs

www.avivacollective.com


    "
Structural Engineer,https://newyork.craigslist.org/que/egr/d/forest-hills-structural-engineer/6998729565.html,Queens,The salary is based on level of experience.,full-time,"
        
As a well established engineering firm serving the Tri-State area for over 25 years, we are currently seeking a structural engineers to join our team.

Required Qualifications

   -  MS degree in Civil Engineering.
   -  Proficient skill with AutoCAD or Microstation. Knowledge in both is highly preferred.
   -  3-5 years experience in residential/commercial building structure design.
   -  Experience in concrete/steel shop drawings design is a plus. 
   -  Experience or previous education/training in eTabs, Safe, or SAP2000 is a plus.
   -  Must have excellent verbal and written communication skills, work well with team environments, and be able to work solely with minimal supervision on deadline driven projects.

We provide sponsorship for OPT, H1B. Please clearly indicate the request in your email.    "
